,name,def_abil
0,Bulbasaur,
1,Ivysaur,
2,Venusaur,
3,Mega Venusaur,Thick Fat
4,Charmander,
5,Charmeleon,
6,Charizard,
7,Mega Charizard X,
8,Mega Charizard Y,
9,Squirtle,
10,Wartortle,
11,Blastoise,
12,Mega Blastoise,
13,Caterpie,
14,Metapod,
15,Butterfree,
16,Weedle,
17,Kakuna,
18,Beedrill,
19,Mega Beedrill,
20,Pidgey,
21,Pidgeotto,
22,Pidgeot,
23,Mega Pidgeot,
24,Rattata,
25,Alolan Rattata,Thick Fat
26,Raticate,
27,Alolan Raticate,Thick Fat
28,Spearow,
29,Fearow,
30,Ekans,
31,Arbok,
32,Pichu,Lightning Rod
33,Spiky-eared Pichu,
34,Pikachu,Lightning Rod
35,Cosplay Pikachu,Lightning Rod
36,Pikachu in a cap,
37,Raichu,Lightning Rod
38,Alolan Raichu,
39,Sandshrew,
40,Alolan Sandshrew,
41,Sandslash,
42,Alolan Sandslash,
43,Nidoran♀,
44,Nidorina,
45,Nidoqueen,
46,Nidoran♂,
47,Nidorino,
48,Nidoking,
49,Cleffa,
50,Clefairy,
51,Clefable,
52,Vulpix,Flash Fire
53,Alolan Vulpix,
54,Ninetales,Flash Fire
55,Alolan Ninetales,
56,Igglybuff,
57,Jigglypuff,
58,Wigglytuff,
59,Zubat,
60,Golbat,
61,Crobat,
62,Oddish,
63,Gloom,
64,Vileplume,
65,Bellossom,
66,Paras,
67,Parasect,
68,Venonat,
69,Venomoth,
70,Diglett,
71,Alolan Diglett,
72,Dugtrio,
73,Alolan Dugtrio,
74,Meowth,
75,Alolan Meowth,
76,Persian,
77,Alolan Persian,
78,Psyduck,
79,Golduck,
80,Mankey,
81,Primeape,
82,Growlithe,Flash Fire
83,Arcanine,Flash Fire
84,Poliwag,Water Absorb
85,Poliwhirl,Water Absorb
86,Poliwrath,Water Absorb
87,Politoed,Water Absorb
88,Abra,
89,Kadabra,
90,Alakazam,
91,Mega Alakazam,
92,Machop,
93,Machoke,
94,Machamp,
95,Bellsprout,
96,Weepinbell,
97,Victreebel,
98,Tentacool,
99,Tentacruel,
100,Geodude,
101,Alolan Geodude,
102,Graveler,
103,Alolan Graveler,
104,Golem,
105,Alolan Golem,
106,Ponyta,Flash Fire
107,Rapidash,Flash Fire
108,Slowpoke,
109,Slowbro,
110,Mega Slowbro,
111,Slowking,
